date,ETH,PriceUSD, TVL_eth ,TCVL_eth, TVL_usd ,TCVL_usd
2018-01-01T00:00:00Z,"2,703,333",692.99,"38,125,101","38,125,101","48,518,175","48,518,175"
2018-01-02T00:00:00Z,"2,733,610",741.13,"41,107,428","79,232,529","50,815,621","99,333,796"
2018-01-03T00:00:00Z,"2,710,006",756.2,"41,801,496","121,034,025","56,942,145","156,275,941"
2018-01-04T00:00:00Z,"2,699,733",861.97,"48,606,911","169,640,936","63,044,139","219,320,080"
2018-01-05T00:00:00Z,"2,722,293",941.1,"59,381,405","229,022,341","71,301,491","290,621,571"
2018-01-06T00:00:00Z,"2,704,003",944.83,"60,687,914","289,710,255","73,542,908","364,164,479"
2018-01-07T00:00:00Z,"2,699,325",967.13,"63,126,181","352,836,436","78,593,372","442,757,851"
2018-01-08T00:00:00Z,"2,707,918",1006.41,"65,560,436","418,396,872","87,758,898","530,516,749"
2018-01-09T00:00:00Z,"2,709,296",1117.75,"73,515,423","491,912,295","89,677,700","620,194,449"
2018-01-10T00:00:00Z,"2,709,503",1136.11,"74,572,511","566,484,806","103,410,300","723,604,749"
2018-01-11T00:00:00Z,"2,678,204",1289.24,"82,445,016","648,929,822","95,293,222","818,897,971"
2018-01-12T00:00:00Z,"2,669,444",1248.99,"79,145,074","728,074,896","88,712,830","907,610,801"
2018-01-13T00:00:00Z,"2,693,181",1139.32,"70,134,933","798,209,829","98,858,837","1,006,469,638"
2018-01-14T00:00:00Z,"2,781,974",1261.03,"78,438,664","876,648,493","103,374,935","1,109,844,573"
2018-01-15T00:00:00Z,"2,839,347",1385.02,"84,530,208","961,178,701","99,806,389","1,209,650,962"
2018-01-16T00:00:00Z,"2,837,658",1359.48,"79,814,228","1,040,992,929","88,219,997","1,297,870,959"
2018-01-17T00:00:00Z,"2,833,843",1278.69,"71,983,483","1,112,976,412","71,399,412","1,369,270,371"
2018-01-18T00:00:00Z,"2,829,569",1050.26,"63,328,147","1,176,304,559","74,326,033","1,443,596,404"
2018-01-19T00:00:00Z,"2,840,066",1024.69,"62,423,541","1,238,728,100","75,238,286","1,518,834,690"
2018-01-20T00:00:00Z,"2,847,249",1012.97,"61,680,837","1,300,408,937","78,054,938","1,596,889,628"
2018-01-21T00:00:00Z,"2,815,368",1037.36,"64,823,008","1,365,231,945","85,638,433","1,682,528,061"
2018-01-22T00:00:00Z,"2,817,445",1150.5,"71,450,284","1,436,682,229","77,716,764","1,760,244,825"
2018-01-23T00:00:00Z,"2,795,481",1049.09,"65,476,151","1,502,158,380","75,026,171","1,835,270,996"
2018-01-24T00:00:00Z,"2,774,083",999.64,"62,887,412","1,565,045,792","75,850,735","1,911,121,731"
