,date,blk,age_days,age_sply,window,CapMrktCurUSD,CapRealUSD,CapMVRVCur,PriceBTC,PriceUSD,PriceRealUSD,DailyIssuedNtv,DailyIssuedUSD,AdrActCnt,TxCnt,TxTfrCnt,TxTfrValNtv,TxTfrValUSD,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMedNtv,TxTfrValMeanNtv,FeeTotNtv,FeeTotUSD,S2F,inf_pct_ann,SplyCur,dcr_sply,dcr_tic_sply_avg,tic_day,tic_price_avg,tic_pool_avg,DiffMean,pow_diff_avg,pow_hashrate_THs_avg,pow_work_TH
0,2016-02-08 00:00:00+00:00,331.0,0.0,0.08033913194434286,2.0,826689.667707288,0.0,,0.00131209,0.49,0.0,1687121.7708312,,7235.0,1705.0,2050.0,71334.10559961,,49796.7101506,,2.05,34.79712468,84.46512,,0.00273972602739726,365.00000000000006,1687121.7708312,1687206.2359512,0.0,1655.0,2.0,0.0,35675.0194461916,35600.38732385879,0.0,0
1,2016-02-09 00:00:00+00:00,690.0,1.0,0.08069211139823619,4.0,830321.8262878504,0.0,,0.001314025,0.49,0.0,7412.568531760015,,15783.0,8580.0,6129.0,206205.94375669,,153053.69501941,,2.06,33.64430474,426.9427,,0.6263091955210308,1.5966554653059073,1694534.33936296,1695045.74718296,1740.388888888889,5329.0,2.0,870.1944444444445,148829.140604156,148001.03830691634,0.0,0
2,2016-02-10 00:00:00+00:00,851.0,2.0,0.08084831827590333,5.0,1646880.2432801507,0.0,,0.002549797,0.97,0.0,3280.344431009842,,5469.0,4053.0,2687.0,130818.57835289,,95753.38538233,,2.06,48.68573813,235.42523003,,1.4180056932179002,0.7052157863560379,1697814.68379397,1698561.516844,10276.271604938273,4036.0,2.0,5138.135802469136,228174.595912554,228590.9916186822,0.0,0
3,2016-02-11 00:00:00+00:00,1143.0,3.0,0.08113435812223095,7.0,2061624.0398858883,0.0,,0.0031871459999999996,1.21,0.0,6006.836772880051,,6910.0,6668.0,4502.0,70588.67363849,,52171.37474653,,2.06,15.6794033,369.59019,,0.7771152009676541,1.2868104995949283,1703821.52056685,1704937.94380688,19310.0,7325.0,2.0,9655.0,149393.504022381,149958.58445113304,0.0,0
4,2016-02-12 00:00:00+00:00,1514.0,4.0,0.08151045599249,10.0,2242352.6443534,0.0,,0.00340915,1.31,0.0,7898.055275439983,,6857.0,3854.0,3001.0,74028.60930806,,53297.26325331,,2.06,24.66798044,203.5009,,0.5937718223020755,1.6841486282103497,1711719.57584229,1713039.49998232,32441.435483870966,8669.0,2.0,16220.717741935483,142203.528110116,142053.8974218595,0.0,0
5,2016-02-13 00:00:00+00:00,1800.0,5.0,0.08180476662777762,12.0,1941227.1120771628,0.0,,0.0028836829999999997,1.13,0.0,6180.523341040127,,3004.0,1304.0,1269.0,37720.80326738,,23612.86789818,,5.35146084,29.72482527,64.88115,,0.7615173270114743,1.3131677567002127,1717900.09918333,1719284.90447336,40572.53658536585,2839.0,2.0,20286.268292682926,215942.48707084,215530.96913968364,10.770034843205575,1000000
6,2016-02-14 00:00:00+00:00,2038.0,6.0,0.08204758928569762,14.0,2033139.262499587,0.0,,0.002897625,1.18,0.0,5099.275816319976,,3985.0,1687.0,1292.0,52716.76875251,,42781.46972291,,2.05,40.80245259,97.9489,,0.9257287510841996,1.080230033720801,1722999.37499965,1724482.12918968,41940.058577405856,1737.0,2.0,20970.029288702928,225406.918173243,225659.29342713006,0.0,1000000
7,2016-02-15 00:00:00+00:00,2288.0,7.0,0.08230274785998333,15.0,2350566.478881124,0.0,,0.0033984709999999997,1.36,0.0,5358.330059999833,,3650.0,1848.0,1857.0,53119.71597205,,37340.73509594,,2.06,28.60512438,100.9396,,0.8837131225926512,1.1315889449125578,1728357.70505965,1729941.39884968,44243.346613545815,2579.0,2.0,22121.673306772907,176440.887917484,176678.14446445322,0.0,1000000
8,2016-02-16 00:00:00+00:00,2683.0,8.0,0.08272138392984238,18.0,2605723.593790035,0.0,,0.003681072,1.5,0.0,8791.357467040187,,3014.0,1957.0,2402.0,38899.3907012,,29614.71372195,,2.06,16.19458397,109.72655,,0.5413626414255518,1.8471906324506142,1737149.06252669,1738567.04491248,46987.42424242424,3644.0,2.0,23493.71212121212,160498.812249773,160414.72600394156,0.0,1000000
9,2016-02-17 00:00:00+00:00,2965.0,9.0,0.08299790048328239,20.0,2736440.7789338203,0.0,,0.003771138,1.57,0.0,5806.847622239962,,3413.0,1452.0,1353.0,28442.31385383,,17792.46533663,,5.15822598,21.02166582,75.7706,,0.8223432027649602,1.216037290315899,1742955.91014893,1744725.10108896,49184.40282685513,2303.0,2.0,24592.201413427563,251283.064279077,250699.38634332616,10.830388692579506,2000000
10,2016-02-18 00:00:00+00:00,3235.0,10.0,0.08327569436817761,22.0,2483281.2060590563,0.0,,0.0033619809999999996,1.42,0.0,5833.6715827998705,,2568.0,1236.0,1122.0,20443.00242575,,12395.39642124,,5.066295875,18.22014476,62.33965,,0.8213016906262061,1.2175793760238633,1748789.58173173,1750621.11232176,51140.57564575646,2091.0,2.0,25570.28782287823,275746.534238564,275884.8362781713,0.0,2000000
11,2016-02-19 00:00:00+00:00,3507.0,11.0,0.0835561414843719,24.0,2544284.5081991246,0.0,,0.003445899,1.45,0.0,5889.389440080151,,2261.0,970.0,1038.0,19449.47663177,,12251.65933379,,5.00121963,18.7374534,50.29595,,0.8162713123248019,1.2250828675479541,1754678.97117181,1756560.79771184,52458.945054945056,2048.0,2.0,26229.472527472528,253105.096076938,253266.0687787816,0.0,2000000
12,2016-02-20 00:00:00+00:00,3805.0,12.0,0.08386075231935856,26.0,2729667.4879951216,0.0,,0.003545613,1.55,0.0,6396.827534719836,,6611.0,5184.0,5077.0,74039.43971362,,64147.33885075,,2.01,14.58330505,110.6219,,0.7542590722898104,1.3258044042667718,1761075.79870653,1763068.24714656,53643.277591973245,2068.0,2.0,26821.638795986622,220949.518225201,221035.91984629072,12.501672240802675,3000000
13,2016-02-21 00:00:00+00:00,4116.0,13.0,0.08418497712920095,28.0,2899330.6123296805,0.0,,0.0037374659999999996,1.64,0.0,6808.721006690059,,7603.0,3075.0,1196.0,24669.75095486,,16314.37448059,,4.9972812,20.62688207,151.2717,,0.7113699074072659,1.4057384064005545,1767884.51971322,1770012.43815325,59764.05128205128,6237.0,2.0,29882.02564102564,246628.295112913,246351.6548829344,0.0,3000000
14,2016-02-22 00:00:00+00:00,4352.0,14.0,0.08452873701399571,30.0,3088680.0504914033,0.0,,0.003974872,1.74,0.0,7218.957580690039,,10371.0,4410.0,1097.0,165614.38381884,,100428.690444,,4.99837699,150.97026784,184.43445,,0.6736841356533692,1.4843751649727583,1775103.47729391,1776744.49753035,64050.40506329114,1871.0,2.0,32025.20253164557,259035.408179392,259353.5917402354,0.0,3000000
15,2016-02-23 00:00:00+00:00,4643.0,15.0,0.08489442867985143,32.0,3405115.534348841,0.0,,0.004539621,1.91,0.0,7679.524982969975,,17464.0,6855.0,1376.0,283304.53783358,,91347.22044177,,5.285356575,205.88992575,281.4661,,0.6360207178661239,1.5722758267294212,1782783.00227688,1784942.76075692,66960.84246575342,3484.0,2.0,33480.42123287671,213318.348511174,213436.74669784761,0.0,3000000
16,2016-02-24 00:00:00+00:00,4992.0,16.0,0.0853826972847181,34.0,4787407.836754144,0.0,,0.006283092,2.67,0.0,10253.640702200122,,18857.0,7592.0,1986.0,175849.77889268,,78402.78700293,,3.022079815,88.54470236,301.89140401,,0.47909121272337307,2.0872852046597634,1793036.64297908,1795212.42686935,73203.49714285714,5792.0,2.156452848457131,36601.74857142857,243747.169014844,243360.4299041684,12.385714285714286,4000000
